Metabolite_name	RefMet_name	3058(1)-01_12_1_748	3058(1)-02_12_1_749	3058(2)-01_13_1_750	3058(2)-02_13_1_751	3058(3)-01_14_1_752	3058(3)-02_14_1_753	3058(4)-01_15_1_754	3058(4)-02_15_1_755	3058(5)-01_16_1_756	3058(5)-02_16_1_757	3066(1)-01_7_1_738	3066(1)-02_7_1_739	3066(2)-01_8_1_740	3066(2)-02_8_1_741	3066(3)-01_9_1_742	3066(3)-02_9_1_743	3066(4)-01_10_1_744	3066(4)-02_10_1_745	3066(5)-01_11_1_746	3066(5)-02_11_1_747	CR1-01_2_1_728	CR1-02_2_1_729	CR2-01_3_1_730	CR2-02_3_1_731	CR3-01_4_1_732	CR3-02_4_1_733	CR4-01_5_1_734	CR4-02_5_1_735	CR5-01_6_1_736	CR5-02_6_1_737
Factors	-	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control
Lisinopril	Lisinopril	2118	2096		684		1600	826	994	162		484			946						484	4360		802		2282	2926	2594	1926	688	856
L-Malic acid	Malic acid	4522	6020	2866	2018	5162	4264	3974	5346	2086	2744	3414	3154	2638	3974	2770	2460	2464	2000	3382	2136	5350	7702	3856	3594	5706	4202	5066		4296	3920
L(-)-Nicotine pestanal	Nicotine	1848	2460	2016	1554	1834	2046	1776	1510	1748	1796	2612	1348	1792	1914	1952	1726	2038	1954	2148	1812	2338	3274	2194	2090	2274	2186	2652	2668	1768	1868
L-Norleucine	Norleucine	16232	16704	14804	14762	15024	14150	13686	13632	11642	11792	16534	14336	13660	15634	12424	11118	13684	14356	11890	13042	14538	16156	14218	12756	13288	16280	5610	4662	14708	14712
L-Phenylalanine	Phenylalanine	182396	167842	136580	132688	148326	147308	153108	153424	123658	122472	167092	159438	134430	150316	131458	120538	113190	138588	127222	130566	163952	160208	125448	136954	130672	143248	134472	121670	128468	145826
L-Tryptophan	Tryptophan	28540	33714	31226	30132	29480	28922	30436	32032	21786	26242	27530	28428	32014	30902	26384	21336	29564	29608	25006	20412	28938	25904	28392	24618	23696	21792	24638	23072	29332	25270
Maltitol	Maltitol	312	218	68418	60204	2952	2170	100	96	65046	59450	64246	65774	68884	67522	74698	82908	71196	66394	54540	75118	322	322	51692	63592	718	986	178	280	67838	70242
m-Coumaric acid	trans-m-Coumaric acid	30304	29112	26000	26846	25170	26814	17504	20858	24746	23844		19066	28498	27198	24628	17280	24658	24340	23290	23204	18152	16156	19502	12968	20562	12396			23732	25658
Melatonin	Melatonin	1688	1314	1118	1188	1454	1446	908	850	840	922	706	672	1356	1440	1238	862	1238	1088	1216	750	1114	1130	982	922	1180	874	1210	1900	1702	2056
Metoprolol	Metoprolol	824	1028	1302	1070	1066	1266	1862	1844	1126	668	490	460	800	986	800	666	770	1040	1286	996	856	1554	478	160	1218	872	682	1056	1178	1084
Mevalonic acid	Mevalonic acid	18152	21144	22304	21056	20254	18330	22062	23178	20868	19900	23288	5050	23354	22796	26850	29916	25464	24506	24188	23090	5164	2870	5354	28414	19616	18930			27530	24208
N6-Acetyl-L-lysine	N6-Acetyllysine	840	922	1004	746	964	808	868	824	922	862	816	910	1180	2194	678	644	1336	1292	1462	606	2174	1928	4574	4390	3506	2506	2400	2136	2788	3052
N-Acetyl-L-alanine	N-Acetylalanine	9082	10704	9882	8798	6674	7100	9202	8544	11280	6220	6408	9622	9338	5948	7058	9396	9340	8264	6534	7680	5420	6116	5868	5150	4738	6000	6436	6538	6354	6802
